emision	altitud
1.5	0
0.87	0
1.12	0
1.25	0
3.46	0
1.11	0
1.12	0
0.88	0
1.29	0
0.94	0
0.64	0
1.31	0
2.49	0
1.48	0
1.06	0
1.11	0
2.15	0
0.86	0
1.81	0
1.47	0
1.24	0
1.63	0
2.14	0
6.64	0
4.04	0
2.48	0
2.98	0
7.39	0
2.66	0
11	0
4.57	0
4.38	0
0.87	0
1.1	0
1.11	0
0.61	0
1.46	0
0.97	0
0.9	0
1.4	0
1.37	0
1.81	0
1.14	0
1.63	0
3.67	0
0.55	0
2.67	0
2.63	0
3.03	0
1.23	0
1.04	0
1.63	0
3.12	0
2.37	0
2.12	0
2.68	0
1.17	0
3.34	0
3.79	0
1.28	0
2.1	0
6.55	0
1.18	0
3.06	0
0.48	0
0.25	0
0.53	0
3.36	0
3.47	0
2.74	0
1.88	0
5.94	0
4.24	0
3.52	0
3.59	0
3.1	0
3.33	0
4.58	0
6.73	0
7.82	0
4.59	0
5.12	0
5.67	0
4.07	0
4.01	0
2.72	0
3.24	0
5.79	0
3.59	0
3.48	0
2.96	0
5.3	0
3.93	0
3.52	0
2.96	0
3.12	0
1.07	0
5.3	0
5.16	0
7.74	0
5.41	0
3.4	0
4.97	0
11.23	0
9.3	0
6.5	0
4.62	0
5.45	0
4.93	0
6.05	0
5.82	0
10.19	0
3.62	0
2.67	0
2.75	0
8.92	0
9.93	0
6.96	0
5.78	0
9.14	0
10.63	0
8.23	0
6.83	0
5.6	0
5.41	0
6.7	0
5.93	0
4.51	0
9.04	0
7.71	0
7.21	0
4.67	0
4.49	0
4.63	0
2.8	0
2.16	0
2.97	0
3.9	0
7.59	1
6.28	1
6.07	1
5.23	1
5.54	1
3.46	1
2.44	1
3.01	1
13.63	1
13.02	1
23.38	1
9.24	1
3.22	1
2.06	1
4.04	1
17.11	1
12.26	1
19.91	1
8.5	1
7.81	1
7.18	1
6.95	1
18.64	1
7.1	1
6.04	1
5.66	1
8.86	1
4.4	1
3.57	1
4.35	1
3.84	1
2.37	1
3.81	1
5.32	1
5.84	1
2.89	1
4.68	1
1.85	1
9.14	1
8.67	1
9.52	1
2.68	1
10.14	1
9.2	1
7.31	1
2.09	1
6.32	1
6.53	1
6.32	1
2.01	1
5.91	1
5.6	1
5.61	1
1.5	1
6.46	1
5.29	1
5.64	1
2.07	1
1.11	1
3.32	1
1.83	1
7.56	1
