ingresos;sexo
4.311;0
1.317;0
1.172;0
3.686;0
3.698;0
2.115;0
5.212;0
1.498;0
1.492;0
2.674;0
2.306;0
7.202;0
4.764;0
4.698;0
2.696;0
2.016;0
0.47;0
2.456;0
4.975;0
2.435;0
5.298;0
1.191;0
0.765;0
2.28;0
8.075;0
2.337;0
4.912;0
1.311;0
1.119;0
4.502;0
2.092;0
1.543;0
4.83;0
2.308;0
2.241;0
1.879;0
6.422;0
2.707;0
3.891;0
4.82;0
4.085;0
2.264;0
2.647;0
0.682;0
2.664;0
2.422;0
1.035;0
3.355;0
4.538;0
2.616;0
1.061;0
4.843;0
4.158;0
1.313;0
2.592;0
1.229;0
6.574;0
2.77;0
2.356;0
1.387;0
4.199;0
1.221;0
1.839;0
2.402;0
2.037;0
3.339;0
1.957;0
1.798;0
1.763;0
1.621;0
2.683;0
5.339;0
1.383;0
1.97;0
1.463;0
1.405;0
1.9;0
4.329;0
4.012;0
1.938;0
2.208;0
3.824;0
3.871;0
1.262;0
1.632;0
3.044;0
1.271;0
3.216;0
2.134;0
1.559;0
4.342;0
1.537;0
2.794;0
1.977;0
1.385;0
0.833;0
1.459;0
1.163;0
4.271;0
2.386;0
1.275;0
4.95;0
0.304;0
3.605;0
1.708;0
2.032;0
3.064;0
1.134;0
2.458;0
2.839;0
3.676;0
2.791;0
0.511;0
1.39;0
7.996;0
0.749;0
2.415;0
1.465;0
2.049;0
1.205;0
2.753;0
3.532;0
1.992;0
2.619;0
5.103;0
2.724;0
1.657;0
4.219;0
3.157;0
0.908;0
4.593;0
2.532;0
4.218;0
5.849;0
1.746;0
3.35;0
3.599;0
4.991;0
2.409;0
1.62;0
3.933;0
2.18;0
2.489;0
3.445;0
2.526;0
1.737;0
4.518;0
2.448;0
0.59;0
1.86;0
2.955;0
2.181;0
1.739;0
1.027;0
2.181;0
1.601;0
5.163;0
1.051;0
2.624;0
1.315;0
1.055;0
1.9;0
1.758;0
2.425;0
2.234;0
6.4;0
2.463;0
2.203;0
2.952;0
3.933;0
2.604;0
4.988;0
1.236;0
3.49;0
2.001;0
4.511;0
2.384;0
1.669;0
7.054;0
2.39;0
4.603;0
0.899;0
0.847;0
2.351;0
4.411;0
3.998;0
3.259;0
3.214;0
2.54;0
0.952;0
2;0
1.19;0
2.312;0
2.751;0
2.617;0
2.837;0
2.586;0
1.218;0
1.499;0
2.255;0
1.685;0
1.925;0
0.764;0
4.192;0
6.22;0
8.019;0
1.552;0
6.987;0
1.576;0
0.729;0
1.2;0
3.002;0
2.664;0
5.047;0
2.864;0
1.292;0
5.517;0
2.074;0
2.782;0
0.784;0
2.878;0
2.704;0
2.038;0
1.98;0
1.381;0
2.355;0
1.917;0
2.927;0
0.746;0
3.975;0
0.805;0
2.288;0
1.57;0
5.29;0
4.295;0
5.916;0
2.459;0
0.644;0
3.748;0
2.812;0
3.32;0
1.43;0
2.384;0
4.158;0
5.015;0
4.507;0
1.886;0
1.458;0
1.843;0
0.505;0
0.76;0
1.604;0
2.352;0
2.669;0
2.747;0
2.815;0
6.127;0
3.098;0
2.657;0
1.991;0
3.568;0
5.157;0
1.727;0
7.569;0
10.205;0
4.49;0
4.611;0
2.248;0
2.103;0
0.266;0
7.129;0
3.943;0
7.347;0
4.403;0
3.127;0
1.156;0
4.751;0
2.172;0
3.297;0
2.325;0
0.756;0
1.647;0
2.686;0
1.532;0
1.724;0
2.953;0
4.389;0
4.939;0
2.018;0
2.146;0
2.261;0
0.659;0
5.212;0
6.24;0
4.122;0
2.826;0
3.965;0
4.48;0
2.479;0
4.127;0
0.467;0
2.184;0
2.612;0
1.443;0
3.87;0
1.693;0
2.267;0
1.11;0
0.539;0
1.822;0
1.864;0
4.405;0
1.796;0
3.272;0
1.974;0
3.82;0
1.285;0
2.308;0
2.341;0
3.633;0
2.054;0
2.335;0
1.292;0
1.605;0
1.938;0
2.505;0
2.413;0
6.868;0
2.739;0
3.942;0
1.921;0
2.031;0
2.563;0
2.709;0
6.49;0
1.431;0
2.458;0
2.067;0
2.649;0
2.612;0
3.786;0
5.232;0
3.914;0
3.263;0
2.241;0
1.371;0
1.615;0
0.461;0
2.124;0
1.852;0
2.614;0
3.195;0
6.616;0
3.214;0
3.142;0
1.907;0
1.113;0
2.474;0
2.716;0
2.489;0
1.31;0
3.788;0
2.936;0
3.526;0
1.586;0
3.67;0
6.047;0
1.067;0
1.056;0
2.348;0
2.482;0
1.629;0
2.399;0
2.184;0
4.547;0
2.178;0
1.287;0
9.403;0
3.65;0
2.559;0
5.56;0
5.88;0
3.292;0
2.259;0
2.033;0
2.881;0
2.314;0
0.143;0
4.19;0
1.682;0
3.879;0
3.94;0
1.063;0
0.65;0
1.875;0
1.884;0
3.025;0
1.051;0
2.861;0
5.756;0
3.633;0
6.89;0
1.868;0
0.176;0
0.223;0
1.572;0
2.469;0
1.701;0
1.76;0
0.738;0
5.692;0
1.462;0
2.563;0
2.571;0
1.09;0
2.177;0
2.017;0
3.853;0
2.905;0
3.071;0
2.249;0
2.492;0
1.81;0
0.81;0
2.707;0
3.239;0
2.269;0
3.421;0
2.572;0
3.211;0
2.475;0
7.144;0
4.894;0
4.314;0
4.25;0
2.225;0
4.094;0
4.271;0
1.211;0
4.586;0
3.167;0
1.844;0
3.488;0
1.549;0
3.427;0
1.823;0
3.084;0
2.061;0
3.877;0
4.784;0
6.398;0
2.317;0
3.313;0
6.185;0
1.724;0
8.042;0
2.797;0
1.143;0
2.202;0
4.464;0
3.873;0
1.79;0
3.393;0
1.386;0
2.914;0
2.642;0
5.176;0
1.245;0
7.401;0
1.421;0
4.809;0
1.266;0
0.619;0
4.104;0
0.855;0
1.027;1
2.273;1
2.203;1
4.233;1
2.664;1
2.1;1
5.463;1
1.318;1
6.074;1
2.164;1
3.035;1
0.362;1
3.147;1
0.273;1
3.643;1
1.677;1
3.132;1
6.761;1
3.619;1
4.056;1
0.557;1
2.778;1
2.24;1
3.045;1
2.876;1
3.094;1
2.387;1
1.992;1
4.921;1
5.423;1
0.942;1
3.654;1
4.31;1
2.534;1
3.016;1
0.656;1
3.361;1
2.196;1
4.196;1
1.746;1
2.277;1
5.806;1
1.86;1
3.614;1
3.104;1
1.033;1
2.692;1
1.776;1
3.322;1
2.16;1
3.361;1
5.429;1
1.855;1
2.789;1
3.021;1
1.381;1
4.876;1
3.169;1
2.707;1
2.169;1
1.288;1
2.104;1
6.61;1
2.146;1
4.636;1
1.161;1
2.521;1
6.317;1
2.837;1
2.151;1
1.891;1
1.453;1
2.527;1
2.873;1
5.845;1
4.3;1
3.029;1
1.464;1
5.627;1
4.892;1
4.418;1
2.309;1
2.222;1
2.507;1
4.771;1
2.185;1
2.042;1
1.496;1
2.428;1
2.811;1
5.64;1
0.853;1
2.678;1
1.3;1
1.323;1
4.408;1
0.355;1
5.766;1
2.856;1
4.493;1
0.408;1
2.971;1
2.363;1
3.606;1
0.367;1
3.238;1
3.863;1
6.218;1
1.689;1
4.752;1
0.053;1
2.846;1
1.426;1
2.235;1
3.623;1
3.874;1
2.989;1
1.096;1
6.405;1
3.215;1
2.843;1
2.673;1
2.504;1
0.926;1
4.344;1
0.396;1
1.129;1
6.963;1
2.052;1
2.835;1
2.093;1
2.171;1
1.196;1
1.789;1
5.674;1
4.555;1
3.514;1
7.859;1
1.798;1
1.943;1
2.716;1
2.549;1
3.42;1
2.412;1
3.414;1
2.378;1
3.283;1
7.567;1
2.588;1
4.347;1
3.696;1
1.132;1
4.899;1
2.012;1
5.564;1
5.092;1
1.577;1
0.742;1
3.431;1
0.482;1
0.897;1
2.669;1
3.609;1
2.156;1
2.012;1
5.699;1
2.857;1
1.794;1
2.052;1
5.136;1
1.049;1
2.038;1
1.168;1
3.084;1
2.12;1
6.633;1
3.232;1
1.979;1
1.062;1
1.026;1
1.929;1
2.104;1
0.59;1
3.047;1
2.527;1
4.048;1
3.378;1
4.332;1
1.21;1
2.317;1
2.682;1
1.413;1
1.444;1
4.293;1
3.315;1
2.658;1
1.428;1
2.696;1
3.785;1
2.097;1
2.83;1
4.972;1
2.31;1
1.516;1
3.758;1
2.552;1
1.122;1
3.768;1
4.112;1
0.3;1
2.244;1
1.744;1
3.052;1
4.387;1
2.82;1
1.878;1
6.823;1
5.975;1
2.504;1
3.018;1
3.416;1
2.129;1
8.021;1
1.787;1
1.082;1
1.602;1
2.777;1
2.047;1
2.219;1
1.52;1
2.91;1
1.21;1
1.995;1
2.653;1
1.472;1
5.089;1
2.035;1
1.7;1
1.134;1
2.774;1
5.142;1
1.437;1
4.787;1
1.602;1
1.833;1
4.088;1
2.73;1
0.689;1
6.197;1
1.567;1
4.726;1
1.463;1
1.688;1
1.094;1
1.979;1
1.76;1
2.129;1
2.258;1
2.001;1
4.486;1
0.516;1
3.357;1
1.461;1
2.419;1
2.107;1
3.469;1
5.542;1
1.008;1
2.556;1
4.077;1
1.499;1
2.529;1
1.117;1
5.275;1
5.458;1
2.81;1
7.455;1
1.496;1
1.14;1
2.577;1
5.006;1
0.997;1
4.098;1
3.399;1
2.478;1
4.114;1
1.523;1
2.43;1
2.076;1
2.976;1
2.072;1
0.317;1
1.712;1
4.797;1
6.073;1
1.201;1
3.719;1
1.54;1
2.046;1
7.331;1
1.553;1
2.209;1
4.905;1
4.277;1
4.227;1
0.986;1
2.399;1
3.262;1
2.388;1
2.175;1
4.223;1
0.936;1
1.313;1
2.191;1
1.891;1
1.483;1
2.176;1
2.776;1
2.914;1
4.278;1
0.878;1
2.296;1
3.462;1
1.65;1
4.952;1
0.865;1
3.441;1
4.275;1
1.834;1
1.293;1
3.613;1
1.977;1
4.268;1
1.866;1
4.488;1
2.81;1
2.933;1
1.406;1
2.252;1
5.223;1
3.48;1
5.435;1
1.891;1
5.296;1
2.745;1
8.385;1
1.715;1
3.754;1
2.136;1
7.84;1
6.409;1
2.906;1
2.124;1
2.588;1
2.806;1
1.599;1
2.511;1
1.03;1
5.199;1
0.459;1
6.56;1
3.873;1
1.18;1
2.157;1
1.414;1
1.943;1
3.512;1
2.914;1
1.924;1
2.513;1
1.737;1
1.901;1
2.04;1
6.46;1
7.03;1
3.185;1
2.469;1
0.375;1
1.679;1
3.993;1
1.259;1
2.483;1
3.407;1
1.842;1
0.671;1
1.589;1
1.419;1
1.919;1
1.955;1
2.115;1
2.17;1
3.425;1
3.619;1
2.393;1
1.824;1
6.553;1
3.1;1
1.749;1
1.176;1
4.012;1
0.599;1
4.358;1
1.292;1
1.937;1
3.108;1
1.455;1
2.321;1
4.148;1
2.262;1
3.092;1
1.442;1
4.956;1
0.96;1
2.006;1
3.338;1
3.227;1
2.2;1
1.143;1
2.087;1
0.915;1
2.438;1
7.547;1
0.672;1
6.823;1
5.243;1
0.734;1
1.154;1
6.893;1
2.479;1
8.079;1
2.006;1
1.58;1
2.225;1
2.733;1
1.378;1
1.588;1
1.643;1
3.371;1
