estatura;peso
1.81;79.13
1.77;73.31
1.77;70.62
1.62;66.43
1.65;67.37
1.83;77.04
1.63;70.38
1.88;75.5
1.9;74.15
1.7;73.59
1.61;64.1
1.72;73.26
1.62;67.19
1.74;76.15
1.85;80.11
1.67;64.44
1.72;66.87
1.8;73.91
1.75;71.94
1.66;69.82
1.88;79.2
1.9;79.51
1.84;72.71
1.74;75.23
1.69;72.14
1.88;80.06
1.81;77.99
1.76;74.55
1.64;65.07
1.6;63.34
1.63;65.28
1.86;82.62
1.67;64.81
1.88;75.22
1.73;76.78
1.66;68.36
1.69;69.67
1.63;66.87
1.68;69.62
1.77;70.94
1.66;66.77
1.71;72.93
1.9;81.11
1.63;69.95
1.64;70.89
1.82;73.35
1.62;75.57
1.7;71.75
1.69;67.3
1.86;75.7
1.89;78.3
1.71;67.78
1.63;69.68
1.78;74.11
1.63;66.91
1.63;70.59
1.67;74.01
1.69;68.32
1.86;81.95
1.79;75.33
1.74;65.42
1.72;76.44
1.65;71.81
1.77;76.58
1.81;72.69
1.88;79.36
1.67;70.32
1.8;76.03
1.68;66.12
1.86;74.86
1.77;68.03
1.77;75.94
1.69;67.65
1.8;73.42
1.81;75.42
1.63;65.7
1.89;74.8
1.64;66.27
1.79;77.94
1.64;71.48
1.89;77.15
1.8;75.85
1.78;74.21
1.63;64.92
1.75;70.25
1.81;77.17
1.82;75.62
1.6;68.23
1.72;69.76
1.85;76.8
1.87;79.18
1.76;71.2
1.63;73.28
1.76;71.3
1.72;74.34
1.82;79.17
1.8;77.29
1.75;71.98
1.65;68.82
1.9;79.81
1.89;77.78
1.81;77.13
1.89;82.29
1.89;83.14
1.64;67.83
1.79;75.23
1.67;64.06
1.75;74.67
1.79;74.91
1.79;74.98
1.82;79.53
1.63;69.58
1.64;64.73
1.79;71.01
1.61;67.92
1.79;76.06
1.65;71.51
1.61;67.89
1.63;64.01
1.83;77.25
1.82;70.58
1.78;71.14
1.88;79.21
1.79;71.95
1.71;71.07
1.69;71
1.7;71.3
1.89;77.58
1.84;76.51
1.86;78.07
1.83;77.36
1.62;64.8
1.7;73.49
1.74;69.24
1.83;82.02
1.64;64.95
1.63;63.26
1.66;70.63
1.61;69.07
1.83;81.99
1.86;80.23
1.64;66.79
1.81;71.64
1.63;66.37
1.89;82.61
1.63;64.97
1.73;69.82
1.65;72.52
1.76;70.36
1.84;75.89
1.84;80.67
1.63;60.11
1.89;84.31
1.62;64.91
1.67;72.58
1.66;64.94
1.6;61.96
1.89;77.57
1.89;78.19
1.88;82.54
1.63;66.79
1.83;79.12
1.88;79.11
1.76;70.13
1.72;79.16
1.73;66.64
1.7;73.07
1.64;65.79
1.68;70.1
1.78;74.26
1.69;69.11
1.82;72.87
1.86;75.74
1.81;77.83
1.8;75.58
1.66;65.97
1.84;74.75
1.65;69.15
1.79;72.18
1.81;74.68
1.65;64.37
1.7;73.39
1.89;75.27
1.83;71.36
1.66;70.33
1.88;79.96
1.82;79.53
1.67;72.86
1.86;71.84
1.81;72.07
1.9;82.24
1.65;64.31
1.82;71
1.69;71.89
1.7;68.55
1.62;63.84
1.64;65.5
1.66;67.16
1.63;68.47
1.66;64.57
1.83;77.07
1.76;76.9
1.7;70.81
1.9;76.89
1.85;82.99
1.65;66.23
1.61;67.48
1.81;72.85
1.75;74.71
1.71;64.43
1.86;77.02
1.68;70.86
1.76;73.86
1.76;73.69
1.73;69.89
1.76;73.91
1.63;62.71
1.72;69.8
1.62;64.48
1.68;68.01
1.69;71.73
1.87;84.06
1.64;67.43
1.64;72
1.74;71.4
1.8;73.04
1.78;71.38
1.85;76.78
1.64;64.19
1.79;73.34
1.76;72.76
1.89;78.37
1.77;72.1
1.63;70.38
1.82;74.08
1.77;73.68
1.71;73.27
1.66;71.05
1.77;71.49
1.7;71.27
1.83;74.9
1.86;76.29
1.72;76.15
1.63;64.06
1.63;66.13
1.65;68.49
1.71;72.91
1.6;66.8
1.63;63.53
1.74;69.24
1.9;78.88
1.75;72.66
1.63;66.29
1.67;66.84
1.74;69.6
1.65;69.44
1.78;71.03
1.65;67.21
1.84;82.99
1.67;67.78
1.79;77.05
1.87;77.98
1.71;67.65
1.74;73.67
1.83;77.25
1.69;73.51
1.75;69.14
1.89;77.19
1.73;70.8
1.82;80.56
1.78;69.94
1.75;71.67
1.76;68.93
1.75;72.59
1.7;72.76
1.79;69.66
1.63;68.45
1.83;73.59
1.65;66.76
1.78;70.96
1.88;76.9
1.68;68.65
1.87;78.07
1.61;66.14
1.79;78.62
1.63;61.69
1.89;79.57
1.71;71.56
1.65;61.18
1.76;71.89
1.71;75.9
1.66;71.87
1.67;72.42
1.63;68.47
1.71;75.71
1.88;82.48
1.65;68.31
1.89;74.32
1.73;67.48
1.89;74.7
1.88;78.37
1.86;83.67
1.72;66.4
1.62;67.03
1.7;71.59
1.83;79.85
1.64;64.05
1.83;80.09
1.85;72.99
1.67;67.46
1.73;73.67
1.68;68.58
1.79;72.4
1.65;70.22
1.62;61.07
1.82;76.23
1.85;74.96
1.65;67.67
1.68;67.23
1.61;65.63
1.86;76.88
1.71;76.2
1.83;70.53
1.83;75.01
1.77;73.91
1.88;80.7
1.84;78.22
1.61;64.7
1.65;67.1
1.66;64.48
1.73;66.05
1.85;78.8
1.8;77.19
1.76;73.42
1.89;82.28
1.65;61.94
1.76;71.13
1.9;81.47
1.61;65.9
1.87;78.4
1.84;77.92
1.69;70.88
1.81;72.45
1.61;71.58
1.82;75.82
1.68;67.26
1.76;66.8
1.73;65.85
1.63;71.33
1.62;59.93
1.89;81.77
1.78;76.18
1.76;66.12
1.78;71.12
1.68;69.7
1.75;75.5
1.64;66.18
1.69;75.39
1.89;80.65
1.68;73.76
1.67;72.04
1.77;71.48
1.69;71.52
1.76;77.79
1.77;70.71
1.65;65.47
1.65;62.37
1.6;63.88
1.88;80.05
1.6;62.04
1.73;75.18
1.68;71.22
1.8;73.19
1.83;79.12
1.72;70.7
1.68;67.25
1.79;71.57
1.83;74.94
1.75;81.16
1.61;61.13
1.69;72.01
1.78;76.19
1.83;72.7
1.75;72.17
1.84;75.95
1.78;76.67
1.75;73.27
1.82;74.89
1.73;74.14
1.69;72.5
1.76;74.41
1.85;73.32
1.61;60.94
1.83;78.27
1.79;77.42
1.68;67.23
1.82;73.25
1.88;81.34
1.7;75.23
1.9;74.5
1.76;73.29
1.87;82.82
1.71;66.42
1.65;68.83
1.66;71.75
1.85;76.37
1.73;70.41
1.63;64.41
1.73;66.05
1.78;70.37
1.66;67.76
1.67;67.17
1.74;75.23
1.67;70.33
1.76;74.35
1.83;80.25
1.64;63.23
1.78;70.38
1.88;80.99
1.88;81.95
1.78;79.14
1.85;74.72
1.64;68.56
1.64;68.11
1.62;69.2
1.79;69.99
1.63;63.45
1.86;76.77
1.74;64.33
1.76;71.13
1.76;71.64
1.74;75.74
1.71;67.24
1.84;73.75
1.88;81.56
1.89;79.79
1.71;67.4
1.73;72.69
1.74;70.72
1.88;79.97
1.66;64.39
1.76;74.1
1.73;71.68
1.77;72.97
1.82;78.01
1.7;76.94
1.79;70.15
1.72;65.77
1.64;71.22
1.88;78.83
1.66;72.16
1.81;72.36
1.65;64.23
1.79;72.78
1.78;72.05
1.6;65.97
1.85;82.18
1.65;72.85
1.88;81.76
1.86;80.99
1.66;57.14
1.63;64.47
1.84;76.8
1.83;77.99
1.81;71.8
1.62;65.96
1.84;78.09
1.73;74.83
1.61;63.09
1.68;68.25
1.8;76.63
1.62;64.01
1.7;65.49
1.62;60.2
1.84;78.62
1.74;70.43
1.74;64.49
1.83;72.35
1.62;64.68
1.87;79.58
1.65;70.25
1.74;69.91
1.72;70.52
1.65;71.55
1.65;70.85
1.86;73.98
1.74;71.93
1.68;66.83
1.65;68.98
1.66;70.1
1.78;73.56
1.81;72.41
1.64;65.73
1.74;70.32
1.71;69.84
1.8;73.73
1.61;61.7
1.7;70.04
1.86;81.04
1.78;74.19
1.71;67.45
1.84;77.92
1.74;67.78
1.84;75.21
1.7;69.84
1.89;81.68
1.87;81.83
1.87;77.63
1.85;76.94
1.61;65.6
1.61;68.35
1.79;74.95
1.8;73.29
1.72;73.4
1.69;70.75
1.62;64.83
1.8;81.37
1.77;73.12
1.7;58.5
1.74;69
1.78;72.7
1.67;67.94
1.7;73.49
1.86;76.57
1.86;81.99
1.86;71.89
1.82;78.74
